IDCajero,IDSucursal,Nombre,ApellidoP,ApellidoM,Calle,Numero,CodigoPostal,Alcaldia,FechaNacimiento,NSS,DNI,Sueldo,NumDiasVacaciones,FechaIngreso
101,201,Deborah,Gierth,Bente,Dennis,338563,56830,Alabama,2004-04-10,95978946114,204418560,7985.8,11,2023-04-29
102,202,Emile,Di Matteo,Disdel,Mccormick,406422,61204,Tennessee,2018-02-24,53724131344,171707871,4254.16,6,2023-01-07
103,203,Abbi,Calderon,Christon,Becker,261988,42309,New York,2015-09-28,31365832715,294377697,5271.6,7,2022-11-06
104,204,Marney,Devanney,Cossem,Mayer,48124,59456,New York,2014-04-02,33906936931,533374001,6097.75,4,2023-04-04
105,205,Roderich,McGann,Lycett,Bowman,43635,23677,California,2022-04-09,84946697197,537766665,1172.25,26,2022-10-26
106,206,Farleigh,Petroff,Underwood,Mendota,170874,76012,Florida,2015-10-22,93842081591,174982307,3156.81,19,2022-09-07
107,207,Noreen,Stellman,Hingeley,Talmadge,400316,53503,Alabama,2018-12-15,69885222418,287002811,849.45,6,2023-01-01
108,208,Florinda,Dun,Instone,Eastwood,329000,57786,Texas,2005-06-06,94692895661,425401620,420.45,15,2022-10-15
109,209,Alverta,Hansard,Tixier,Thackeray,294364,67983,Tennessee,2004-06-08,83464569909,427855679,3881.32,4,2022-10-28
110,210,Cathi,Tynemouth,Metzel,Pepper Wood,8207,55109,Illinois,2019-01-07,10162724287,129645849,6733.05,14,2023-02-18
111,211,Miguela,Bruford,Walbrun,Forest,173018,96281,Texas,2005-09-01,16315835570,118252741,1331.63,1,2023-04-29
112,212,Adria,Braznell,Ahrenius,Monica,39975,49075,Washington,2005-11-22,92316628285,343521027,3307.96,16,2023-02-20
113,213,Roberto,Lghan,Muslim,Derek,457037,76197,California,2014-07-23,93756303607,239517021,8615.77,28,2023-02-21
114,214,Linn,Aubin,Friary,Dawn,445341,34243,Pennsylvania,2022-01-19,53639640253,502134185,4731.26,5,2023-01-29
115,215,Pennie,Rapsey,Senechault,4th,426115,73211,California,2014-06-03,13083748712,87962175,6630.62,29,2022-08-06
116,216,Keir,Drane,Durrell,Donald,178026,83719,Utah,2012-03-20,85308214603,148564094,9948.29,24,2022-06-07
117,217,Geri,Howson,McQuarter,Bobwhite,51455,56108,California,2001-09-12,39959584328,80725786,7616.29,3,2022-06-04
118,218,Norry,Shilton,Kernley,Maryland,368110,42269,Massachusetts,2013-06-25,95582021168,74379875,6760.83,21,2022-11-23
119,219,Aloin,Lomen,Holdey,Duke,234532,75575,Indiana,2018-04-14,74132069885,83555917,5450.34,20,2022-08-21
