IDCliente,Nombre,ApellidoP,ApellidoM,Calle,Numero,CodigoPostal,Alcaldia,FechaNacimiento
1,Cart,Capstick,Rubke,Pierstorff,791,61503,New York,2023-02-14
2,Filia,Charnock,Batchan,Ruskin,3409,35714,Indiana,2023-03-12
3,Marcella,Billin,Valentin,Ridgeview,284,90024,California,2022-11-16
4,Isidoro,Matthews,Qusklay,Melrose,016,82415,Wisconsin,2022-12-29
5,Rochella,Foyston,Jones,Clarendon,8521,49870,Montana,2022-08-09
6,Simona,Bonevant,Haskett,Tennessee,192,33957,California,2022-05-15
7,Delphinia,Gervaise,Orriss,Crowley,52,75415,Michigan,2023-05-06
8,Billy,Youson,Pittaway,Commercial,52827,14681,Pennsylvania,2022-07-12
9,Nelie,Rosina,Gudgion,Warbler,24,52782,Ohio,2022-08-12
10,Lurlene,Roderighi,Pohls,Trailsway,797,14233,Texas,2023-04-21
11,Ardyce,Abthorpe,Ziemke,Milwaukee,1,60087,Kentucky,2022-10-28
12,Kameko,Chaytor,Anderbrugge,Marcy,08,99945,California,2022-07-21
13,Reena,Crollman,McGuirk,Quincy,0855,15717,Illinois,2022-10-08
14,Eugenius,Kraft,Citrine,Everett,79,66552,Iowa,2023-01-11
15,Karine,Cartmer,Konig,Blaine,91709,95696,Florida,2023-04-15
16,Perrine,Lay,Pymm,Nova,78733,57279,California,2022-12-03
17,Merwyn,Torrance,Sprackling,Clove,9,46641,North Carolina,2022-12-15
18,Meryl,Diplock,Pogue,Delladonna,65023,94938,Oklahoma,2022-12-12
19,Cayla,MacVanamy,Jeaycock,Washington,02168,67050,Virginia,2022-07-21
20,Keary,Deaves,Indgs,Onsgard,49,64040,Florida,2023-04-02
21,Ricard,Holborn,Simester,Oxford,09,29214,North Carolina,2023-01-15
22,Flora,Tickle,Millery,Hanover,75800,66394,California,2022-09-02
23,Chris,Wellbelove,Blenkin,Anthes,47872,52569,New Jersey,2022-11-21
24,Laurianne,Ranklin,Wellbank,Lillian,38480,29716,New York,2022-08-19
25,Jeanette,Shillito,Gonzalo,Buell,45,24041,Tennessee,2022-05-16
26,Clementia,Newcomb,Baldazzi,Melrose,52,26517,California,2022-06-11
27,Ellene,Gawthrope,Adamou,Hansons,259,59561,Texas,2022-11-03
28,Carin,Mangon,Andryunin,Anderson,85407,28562,Illinois,2022-05-19
29,Armstrong,Blackader,Trobridge,Karstens,9610,29549,Iowa,2022-07-02
30,Mala,Piatkowski,Pettegree,Graceland,54,72934,Georgia,2023-02-14
31,Bay,Mityashin,Uebel,Shelley,78,85134,California,2022-06-21
32,Sisile,Tebboth,Chapman,Carioca,23,80949,Arizona,2022-12-11
33,Barde,Fowley,Ducker,Havey,2958,18102,Arizona,2022-05-11
34,Alica,Rosberg,Sturrock,Memorial,18524,76799,Texas,2022-06-17
35,Clare,Spurden,Bernini,Anthes,24,29186,California,2022-12-18
36,Jarvis,Upston,Longland,Gale,7,67628,Arizona,2022-05-22
37,Leigh,Caccavella,Goodinge,Grim,3932,98759,Alabama,2022-06-15
38,Corabel,Stracey,Sprowson,Tennessee,2229,21199,Nebraska,2023-04-08
39,Wat,Aupol,Anthon,Forster,88,72023,Tennessee,2023-01-18
40,Ora,Nutbeam,Iacovucci,Doe Crossing,793,90985,Texas,2022-09-26
41,Jelene,Ciccone,Solman,Canary,41,12304,Virginia,2022-09-17
42,Wade,Cumine,Breagan,Surrey,72727,18418,North Dakota,2023-03-20
43,Cecil,Ainsworth,Joynson,Lien,06,67954,California,2023-03-14
44,Dudley,Harbidge,Peplow,Thompson,2061,96426,New Jersey,2022-05-16
45,Adolph,Deport,Bolliver,3rd,8386,35214,Connecticut,2022-11-03
46,Consalve,Galletly,Blockley,Farmco,0,62905,Massachusetts,2022-06-07
47,Vance,McGrowther,Pleat,Elmside,3430,20651,Florida,2022-07-06
48,Tasia,Hazleton,Celand,5th,977,34028,Alabama,2022-12-27
49,Burke,Josselson,Pargiter,Forest,09028,83183,Missouri,2022-10-16
50,Dillon,Conrard,Ernke,4th,0694,12191,Pennsylvania,2023-03-17
51,Irena,De Vaan,Pea,Jackson,64,63303,Nevada,2022-12-07
52,Iorgo,Duckels,Segeswoeth,Trailsway,3666,46338,Louisiana,2022-11-21
53,Karrie,Lilburne,Goatman,Bunker Hill,1040,85503,Florida,2023-02-15
54,Fiann,Duck,Onians,Dennis,24,92737,Washington,2022-09-29
