IDEncargado,IDSucursal,Nombre,ApellidoP,ApellidoM,Calle,Numero,CodigoPostal,Alcaldia,FechaNacimiento,NSS,DNI,Sueldo,NumDiasVacaciones,FechaIngreso
401,201,Wini,Deval,Gyse,Katie,127639,86975,California,2005-02-01,16648379431,317557580,2395.39,17,2022-06-27
402,202,Malvin,Cappel,Paulo,Forest Dale,355044,28329,California,2011-03-01,67770421886,18389320,9330.03,20,2022-07-01
403,203,Carlo,Bonniface,Valerio,Lillian,33912,37060,Kansas,2005-12-30,99112091204,64313086,4108.42,21,2022-06-27
404,204,Weber,Bode,Minney,Oak Valley,356008,65213,Texas,2004-11-08,72715311562,165374717,7198.72,26,2022-11-23
405,205,Fred,Greenig,Ervin,Hintze,428468,20539,Ohio,2021-02-17,72920030323,104646994,8743.61,5,2023-02-01
406,206,Collie,Crooks,Hathaway,Park Meadow,113653,13522,Michigan,2020-04-10,69432752376,179312231,5730.02,20,2022-12-08
407,207,Brantley,Portress,Rice,Macpherson,398466,81230,Virginia,2014-09-03,68665353198,286940085,8538.6,11,2022-10-01
408,208,Jania,Gudyer,Donett,Fallview,495035,94212,Connecticut,2008-05-30,66933643611,520842795,3711.53,5,2023-03-09
409,209,Jeffy,Habbes,Jinkin,Grim,180749,50414,Oklahoma,2020-04-06,56230732301,394047784,1650.74,25,2022-11-04
410,210,Phil,Ludmann,Paddeley,Randy,293550,33038,Ohio,2013-07-23,72746634327,462744905,4794.38,28,2022-11-12
411,211,Delilah,Crayker,Green,Hoepker,495979,16211,California,2013-11-24,75283864867,344920219,7118.72,4,2022-09-20
412,212,Jordan,Flear,Sives,Cambridge,383358,57417,West Virginia,2020-08-02,88936599493,30387741,2253.33,13,2022-06-13
413,213,Findlay,Grellis,Skeech,Sauthoff,327291,23212,New York,2004-11-14,37566754849,242065234,6294.76,22,2022-08-05
414,214,Ailbert,Fehner,Whitby,Dexter,206044,61861,Texas,2004-02-03,46688724338,402842871,4329.57,9,2023-01-31
415,215,Henry,Lamb,Novotna,Ilene,28758,30929,South Carolina,2012-12-23,89568535451,76536185,8125.7,6,2023-04-22
416,216,Kienan,Keat,Crust,Ryan,39803,77672,North Dakota,2018-02-18,67566547419,351298094,6068.31,23,2023-02-07
417,217,Lorna,Blanpein,Mitten,Manitowish,450644,38138,Florida,2013-10-18,63390552774,390424974,5030.13,2,2023-01-05
418,218,Rosalia,Chilley,Antusch,Muir,157836,90552,New York,2016-08-09,29733665726,542000518,3981.02,1,2023-03-21
419,219,Catina,Bratchell,Orgill,Blackbird,82583,26958,Florida,2015-11-20,88168201918,239858437,5485.96,26,2022-12-28
420,220,Vikky,Pessolt,Buzza,Dexter,359765,31248,Texas,2017-03-21,68807635855,417934137,8855.59,14,2022-05-12
421,221,Brina,Baswall,Petrishchev,Fuller,42241,30969,Indiana,2017-09-28,91935277327,555936314,6558.64,13,2023-02-07
422,222,Julieta,Braxton,Mitcham,Starling,367799,26792,Texas,2021-09-02,88595450320,32392014,1775.37,29,2022-12-01
423,223,Graeme,Van Dale,Eubank,Center,34227,75350,Louisiana,2021-09-12,16646425775,221013538,2437.2,4,2023-04-04
424,224,Maud,Dakhno,Oxley,Maywood,116002,54629,Kansas,2014-03-25,76869235098,301338099,3663.68,12,2023-03-24
425,225,Gusty,Tilt,O'Dare,Alpine,105382,24030,Minnesota,2019-02-27,49921701055,394220177,9871.4,24,2022-11-04
426,226,Guenevere,Bard,Glide,Autumn Leaf,490999,15576,Georgia,2022-03-07,62842254636,48152901,1385.68,3,2022-10-19
427,227,Fax,McNicol,Pellett,Nancy,333104,77842,Indiana,2006-07-22,63401639594,213162950,7763.18,30,2022-09-21
428,228,Rubi,Dorbin,Livock,Ramsey,89394,96746,North Carolina,2012-01-10,57492852033,533227026,7610.14,28,2022-09-23
429,229,Laurella,Knappen,McBrier,Killdeer,19847,41749,Colorado,2007-07-30,95014999788,110090738,2862.52,22,2022-11-13
430,230,Hardy,Bletsor,MacArd,Anzinger,475621,39425,Ohio,2005-11-07,53562981609,82301004,6082.63,22,2022-11-26
431,231,Gael,Ucchino,Vaen,6th,123423,36611,Nebraska,2007-08-16,66697746111,310388546,4293.78,28,2023-05-05
432,232,Tracie,Westmore,Barabisch,Melvin,186030,66563,New York,2013-08-25,28610259853,48869569,2020.83,22,2023-01-27
433,233,Freeland,Shermar,Durnill,Weeping Birch,187926,48581,Colorado,2005-10-06,40381869509,397043731,5687.0,4,2022-10-18
434,234,Lizbeth,Clackers,Giff,School,215475,25739,Oklahoma,2003-01-16,47086960600,309689471,8909.4,7,2022-09-24
435,235,Opal,Carlet,Cerman,Colorado,455911,61296,New York,2003-03-12,43214470925,408387829,8608.68,27,2023-03-03
436,236,Erena,Nuss,Josefer,Hoard,265048,70690,Colorado,2017-07-05,42530199261,58989033,3938.53,6,2022-07-08
437,237,Tracey,Howselee,Hubbock,Coleman,25570,27114,Massachusetts,2017-08-30,43517597107,152487814,1201.3,23,2023-03-05
438,238,Naomi,Wince,Lerwell,Charing Cross,117344,33814,California,2013-01-20,37752320913,134405295,1951.48,9,2022-08-25
439,239,Ofilia,Espadate,Labro,Ryan,340196,96154,Illinois,2002-04-25,19529320314,366997852,7410.56,13,2022-12-17
440,240,Allan,Togwell,Hamp,Morningstar,155159,61180,Missouri,2017-10-26,53134977968,422501436,1565.24,3,2023-04-27
441,241,Bernita,Winchurch,Adamini,Eagle Crest,56385,19239,Alabama,2016-08-28,15730067090,155383200,8192.48,27,2022-06-22
442,242,Ahmed,Corryer,Blees,Steensland,312193,88774,Illinois,2022-04-06,54574689778,555681614,3754.27,29,2022-09-01
443,243,Xylina,Saylor,Collerd,Moose,374702,80910,New York,2020-03-03,18996075084,313678604,3679.02,5,2022-08-14
444,244,Suzette,Proughten,Giorgio,Miller,417456,44606,Texas,2004-10-31,55706973418,48668945,1732.1,29,2022-10-16
445,245,Trevor,McTrusty,Harkin,Crescent Oaks,29652,69385,California,2007-11-21,83788668101,374661109,5403.8,11,2023-01-26
446,246,Christoper,Barnaby,Peschka,Lillian,393342,71435,California,2002-12-30,36899421935,372606780,2396.81,14,2023-05-06
447,247,Libbie,Kubes,Elan,Pearson,296727,29694,Ohio,2002-09-26,57727310319,50726839,7569.82,24,2023-02-03
448,248,Pail,Bernaert,Lindroos,Sachs,96814,37144,New Mexico,2005-10-09,27457600044,458601129,2150.98,5,2023-03-16
449,249,Rudiger,Stang-Gjertsen,Pavkovic,Grim,227891,50820,New York,2021-01-07,93658693086,16513688,6606.46,5,2022-11-28
450,250,Kip,Kolin,Bulcroft,Dapin,84281,74880,Florida,2011-08-19,54196880810,464477168,2898.64,6,2022-10-18
451,251,Nonie,Mattusevich,MacGinney,Utah,171157,12290,Delaware,2008-01-30,41467562431,304975091,1184.8,4,2022-11-11
452,252,Ardys,Caron,Foukx,Mockingbird,106049,72601,Kansas,2004-06-02,63150462720,425537667,9774.28,6,2022-11-08
453,253,Thorny,Wolffers,Baybutt,Corry,115034,22590,Hawaii,2020-11-19,96138060445,290652568,8641.63,10,2022-08-29
454,254,Melisenda,Storror,Kearney,Packers,145185,84483,Florida,2008-07-08,47206039992,329224586,1397.79,25,2023-01-27
455,255,Tracee,Fallowfield,Armall,Clove,230779,38715,Texas,2014-11-01,51174771234,49355163,6103.95,1,2022-10-20
456,256,Eula,Bohlin,Moppett,Dorton,206611,94908,Oregon,2018-08-19,28209699669,182311286,8867.42,1,2022-06-28
457,257,Shela,Ridler,Coal,Bartillon,219840,69431,California,2007-11-12,12748728821,444188138,7548.71,1,2022-08-30
458,258,Yves,Rubrow,Fidoe,Ramsey,177508,92593,Oklahoma,2014-07-12,80721182563,143723739,6991.27,2,2023-03-04
459,259,Shara,Chazelle,Skatcher,Hazelcrest,448389,23710,Washington,2019-10-13,14610150508,474714253,6521.83,26,2022-07-17
460,260,Prisca,Smither,Coales,Carioca,21904,65688,California,2009-07-09,70049833944,496488364,8378.4,20,2022-09-22
461,261,Hamlen,Lasty,Bille,Johnson,245038,21717,California,2022-09-17,10159835328,25344710,2147.86,12,2023-01-06
462,262,Britni,Fussey,Penketh,Evergreen,449755,14005,Alabama,2019-11-04,26613532044,321038344,5440.06,12,2022-06-04
463,263,Myranda,Rozsa,Hixley,Coolidge,272638,35374,Ohio,2021-01-15,70070566133,293455506,4121.26,17,2022-10-08
464,264,Eldridge,Sutherington,Glenwright,Autumn Leaf,168728,33266,Texas,2009-08-10,22466328507,511495540,7434.29,20,2022-12-04
465,265,Elbertina,Nettle,Starbuck,New Castle,85535,93059,Georgia,2021-09-17,95751949664,74847121,9270.35,23,2023-04-23
466,266,Lucky,Garrelts,Tregale,Talmadge,316279,68080,Missouri,2022-09-24,96402369608,140491246,1738.8,22,2023-03-24
467,267,Gypsy,Philipet,Stalf,Erie,116570,34686,Texas,2012-03-23,49342376555,486259993,5939.57,26,2023-01-18
468,268,Anastasie,Phillput,Fleg,Charing Cross,413198,27622,Colorado,2019-09-28,81911169956,123983189,1683.28,21,2023-01-07
469,269,Stearn,Yakebovitch,Lorkin,Rutledge,8640,11257,North Dakota,2007-05-22,72008485166,125514559,4921.57,26,2022-07-10
470,270,Celesta,MacAllan,Rosenvasser,Park Meadow,80987,34761,Maryland,2018-02-04,98463494855,46163009,5664.25,15,2022-08-19
471,271,Tabitha,Zoephel,Kewish,Haas,173174,92464,Georgia,2006-08-26,84767594080,137710005,4937.34,9,2022-11-03
472,272,Elke,Eisold,Ridings,Kinsman,479208,38028,California,2023-01-22,83962822861,500772319,7697.79,24,2023-04-30
473,273,Jo ann,Blazhevich,Aspden,Vermont,457879,81460,Illinois,2017-10-10,64011584664,325707488,1402.99,2,2023-04-11
474,274,Bran,Flello,Sanpher,Summerview,155220,16094,New York,2013-07-15,97017229809,514690949,7280.55,1,2023-01-05
475,275,Emily,Dosdill,Mordie,Jenna,328139,43212,Pennsylvania,2022-12-09,91783725188,460790221,3145.95,28,2023-01-22
476,276,Eziechiele,Howie,Stelljes,Pierstorff,424273,36743,Texas,2013-08-04,72456548650,502698072,5960.16,3,2022-10-03
477,277,Jenine,Gowrie,Haddrill,Mosinee,114362,68125,California,2004-01-29,64860044203,473579976,3955.98,4,2022-11-16
478,278,Agna,Gallemore,Ivkovic,Rockefeller,116823,38392,Texas,2003-06-25,45509213248,182386668,8889.39,30,2023-03-03
479,279,Blithe,Brian,Phelip,Warner,444173,55499,California,2003-02-24,20616619480,321707655,8399.33,3,2022-05-29
480,280,Fritz,Dryburgh,Keaveney,1st,402313,50091,Nebraska,2023-02-26,66465303831,250644311,8019.91,5,2023-02-21
481,281,Erhard,Grellis,Elington,Evergreen,78199,28098,Washington,2002-03-29,32819556853,80622973,8441.72,23,2022-11-29
482,282,Adele,Forlonge,Alforde,Linden,476920,78800,California,2020-06-24,31770516246,526050748,1099.7,11,2023-04-22
483,283,Orsola,Pettitt,Fodden,Claremont,380577,35516,Hawaii,2014-07-15,88139845034,554309144,6708.49,10,2023-03-14
484,284,Estele,Iczokvitz,Realy,Aberg,401132,24074,Florida,2008-11-07,60571581359,280175905,7453.16,8,2023-04-22
485,285,Francklyn,Ridulfo,Higounet,Badeau,483817,58786,Virginia,2008-03-16,31552185962,450835157,7877.62,27,2023-03-16
486,286,Merrill,Saunter,Dominka,Kensington,410130,55766,North Carolina,2014-12-15,33695887899,538180309,9297.6,25,2023-03-18
487,287,Amelie,Klampt,McCambrois,Sage,458717,88404,Pennsylvania,2009-08-09,62135358172,338810994,6161.94,16,2022-10-09
488,288,Maureene,Coath,Krabbe,Arizona,481175,77081,Michigan,2015-02-01,73330146776,492706398,5970.14,4,2023-05-03
489,289,Ileana,Redolfi,Liell,5th,305802,80734,Florida,2004-12-29,59294688813,554484885,3498.04,8,2022-08-14
490,290,Quintina,Kovacs,Giffen,Farragut,162024,83813,Texas,2005-09-24,69021661039,288225824,3120.61,8,2022-07-05
491,291,Derrek,Wethered,Attwoul,Bayside,407397,65692,Tennessee,2012-10-28,29280068671,149002840,5143.66,23,2023-04-04
492,292,Raquel,Seakes,Tooher,Delladonna,266675,70859,Minnesota,2015-02-01,61317095056,293079799,5988.19,29,2022-06-14
493,293,Karim,Dornan,Van der Kruijs,Briar Crest,104115,85762,California,2015-11-09,41489754143,151152771,1627.93,10,2023-04-18
494,294,Raymund,Ashenhurst,Atterbury,Golf,200570,20990,Colorado,2023-01-23,14519742147,45269503,2378.49,30,2022-12-01
