IDGerente,IDSucursal,Nombre,ApellidoP,ApellidoM,Calle,Numero,CodigoPostal,Alcaldia,FechaNacimiento,NSS,DNI,Sueldo,NumDiasVacaciones,FechaIngreso
301,201,Verile,Britney,Punt,Continental,173165,87796,Texas,2002-08-15,16137121479,475282127,4306.32,15,2023-02-10
302,202,Farlee,Le Fevre,Elsmere,7th,385480,44660,Michigan,2008-05-18,77565063099,401946787,8254.97,26,2022-07-09
303,203,Janeva,Frays,Mellem,Lillian,287676,33471,Nevada,2011-06-13,34399658405,196912017,9787.56,10,2023-01-10
304,204,Kelsey,Hinrichs,Fairey,Pawling,376336,82255,California,2005-09-04,28372083113,179300807,1776.91,8,2023-04-30
305,205,Nicholle,Dwelly,Lemonby,Schiller,141516,84925,Illinois,2007-03-20,85969243520,529507519,4209.39,14,2023-01-13
306,206,Marleah,Carlino,Queen,Eagle Crest,278788,15902,Georgia,2007-11-21,54096897519,49487902,3244.23,17,2022-10-30
307,207,Winny,Giacomo,Creavan,Merrick,214568,40101,Colorado,2002-03-27,25761236505,30946058,4756.63,21,2023-02-01
308,208,Fifi,Riep,Bernolet,Pankratz,412804,58842,California,2012-06-25,45815571198,92858012,5820.17,29,2023-01-28
309,209,Arty,Deniskevich,Fronks,Bultman,12809,92622,Texas,2012-03-20,27487806187,103863253,8292.75,1,2022-11-15
310,210,Rodge,Merill,Klisch,Vahlen,55475,30281,Washington,2011-02-12,14398899141,222683459,8137.12,16,2023-01-20
311,211,Alphonse,Zoane,Jennaroy,Del Sol,73280,75541,New Mexico,2013-07-05,49625130472,368403517,1457.1,24,2022-07-17
312,212,Hendrika,Alvarado,Leindecker,Crest Line,297770,66091,California,2007-04-07,70335332216,213620353,6394.54,8,2023-02-18
313,213,Harri,Faulo,Banbury,Reindahl,39214,25589,Arizona,2011-02-06,60132393954,67615909,7223.34,20,2022-09-30
314,214,Solomon,Gouge,Jaxon,Granby,77288,22197,California,2023-02-17,90493197798,560624361,8041.78,14,2022-12-16
315,215,Sigrid,Limpkin,Ceillier,Hooker,386445,12369,Texas,2009-02-03,44300339227,307802588,6820.41,11,2023-01-20
316,216,Janna,Nunes Nabarro,Astall,Cottonwood,226194,78746,Missouri,2022-11-29,76144483130,295957983,4605.09,22,2022-11-11
317,217,Jessee,Hindsberg,Carlick,1st,269632,87686,New York,2017-03-01,44219748588,493528554,5069.13,8,2023-02-06
318,218,Drusy,Jaan,Riche,Kennedy,56048,35055,Pennsylvania,2009-04-27,79217545130,208160276,3456.31,21,2023-03-26
319,219,Oates,Adshad,Peirone,Warner,108238,87244,Washington,2018-06-23,72945692931,197118365,8424.06,19,2022-10-15
320,220,Camala,Barten,Engel,6th,152096,54986,New York,2003-04-04,25162446225,27522180,9848.71,13,2022-08-23
321,221,Laryssa,Caulkett,Dyne,Little Fleur,158651,47535,South Carolina,2021-10-22,24344495041,513363752,9030.77,24,2023-02-06
322,222,Matilde,Savory,Fillery,Sunnyside,399573,75310,Texas,2021-11-24,57610263389,187663418,2609.55,14,2023-04-21
323,223,Gretal,Grundon,Brambell,Fairfield,449712,35898,Oklahoma,2006-08-06,29202960787,332440123,1324.66,17,2022-12-20
324,224,Kirbee,Stollenhof,Gooddy,Rockefeller,444444,58033,Virginia,2008-03-29,65122109097,197509478,8532.84,20,2023-01-20
325,225,Esdras,Balls,Doldon,Coleman,375966,21182,Ohio,2012-03-31,86650019288,563236938,9903.26,13,2023-04-07
